key_0,cust_number,Notes,buisness_year,total_open_amount,due_term,baseline_create_date_day,due_in_date_day,baseline_create_date_month,due_in_date_month,due_in_date_year,document_create_date.1_day,document_create_date.1_month,document_create_date.1_year,business_code_enc,cust_payment_terms_enc,document_type_enc,Predicted_delay,due_in_date,predicted_payment_date,BUCKET_DAYS,bucket_id,name_customer,invoice_id
0,200803720,Lorem,2020,9755.78,7,16,23,4,4,2020,23,4,2020,1,29,0,1,2020-04-23,2020-04-24,(0-15) Days,1,DEC llc,1930819437.0
1,200769623,Lorem,2020,13505.14,15,4,19,3,3,2020,4,3,2020,1,28,0,1,2020-03-19,2020-03-20,(0-15) Days,1,WAL-MAR corporation,1930596161.0
2,200769623,Lorem,2020,5496.44,15,29,15,2,3,2020,29,2,2020,1,28,0,1,2020-03-15,2020-03-16,(0-15) Days,1,WAL-MAR associates,1930580776.0
3,200769623,Lorem,2020,71674.1,15,12,27,4,4,2020,12,4,2020,1,28,0,1,2020-04-27,2020-04-28,(0-15) Days,1,WAL-MAR in,1930777807.0
4,200780383,Lorem,2020,20276.74,15,14,29,4,4,2020,14,4,2020,1,15,0,1,2020-04-29,2020-04-30,(0-15) Days,1,MEIJ llc,1930785327.0
5,200750051,Lorem,2020,48646.53,15,4,19,3,3,2020,4,3,2020,1,15,0,1,2020-03-19,2020-03-20,(0-15) Days,1,ALBER llc,1930597826.0
6,200743123,Lorem,2020,36857.42,15,6,21,3,3,2020,6,3,2020,1,15,0,1,2020-03-21,2020-03-22,(0-15) Days,1,KROGER trust,1930610281.0
7,200769623,Lorem,2020,6339.35,15,21,5,3,4,2020,21,3,2020,1,28,0,1,2020-04-05,2020-04-06,(0-15) Days,1,WAL-MAR corporation,1930681972.0
8,200439158,Lorem,2020,17916.0,15,1,16,5,5,2020,1,5,2020,1,15,0,1,2020-05-16,2020-05-17,(0-15) Days,1,POST  ,1930833415.0
9,200744019,Lorem,2020,18033.56,15,3,18,4,4,2020,3,4,2020,1,15,0,1,2020-04-18,2020-04-19,(0-15) Days,1,TARG foundation,1930737344.0
10,200865666,Lorem,2020,1203.43,20,26,15,3,4,2020,26,3,2020,1,22,0,1,2020-04-15,2020-04-16,(0-15) Days,1,RESTAU foundation,1930706792.0
11,200769623,Lorem,2020,7467.2,15,1,16,4,4,2020,1,4,2020,1,28,0,1,2020-04-16,2020-04-17,(0-15) Days,1,WAL-MAR associates,1930726752.0
12,200743123,Lorem,2020,501.89,15,24,9,4,5,2020,24,4,2020,1,15,0,1,2020-05-09,2020-05-10,(0-15) Days,1,KROGER in,1930819688.0
